"ip_addr","load_ms","image_total","minify_save","score_cookies","score_compress","requestType","type","dns_start","ssl_end","gzip_save","is_secure","server_count","score_gzip","ssl_start","full_url","dns_ms","connect_end","responseCode","ssl_ms","image_save","bytesIn","initiator_line","bytesOut","minify_total","id","dns_end","ttfb_ms","connect_start","score_cdn","cache_time","objectSizeUncompressed","load_start","connect_ms","method","objectSize","gzip_total","initiator_column","request_id","score_combine","score_etags","host","score_keep-alive","score_minify","initiator","socket","created","url","score_cache","server_rtt","cdn_provider","load_end","ttfb_start","ttfb_end","download_start","download_end","download_ms","all_start","all_end","all_ms","index","number","run","cached","protocol","priority","contentType","is_base_page","contentEncoding","cacheControl","jpeg_scan_count","score_progressive_jpeg","expires",
"104.78.230.61","691","6923","","-1","100","Image","3","-1","-1","","1","","-1","-1","https://media1.s-nbcnews.com/j/newscms/2018_33/2532536/rachel_maddow_8913ddd1d5467fde290ceafb6549ae4f.focal-240x360.jpg","-1","-1","200","-1","0","7198","1","81","","181105_H5_9","-1","595","-1","100","26501213","6923","1023","-1","GET","6923","","","0.23","-1","-1","media1.s-nbcnews.com","100","-1","https://www.msnbc.com/","6","730","/j/newscms/2018_33/2532536/rachel_maddow_8913ddd1d5467fde290ceafb6549ae4f.focal-240x360.jpg","100","","Akamai","1714","1023","1618","1618","1714","96","1023","1714","691","11","12","1","0","h2","low","image/jpeg","","","max-age=26501213","1","50","",
"104.78.230.61","1488","86382","","-1","85","Image","3","-1","-1","","1","","-1","-1","https://media1.s-nbcnews.com/j/MSNBC/Components/Video/201811/n_mj_jacob_181102_1920x1080.focal-758x379.jpg","-1","-1","200","-1","12139","86658","1","72","","181105_H5_9","-1","1080","-1","100","31327105","86382","1024","-1","GET","86382","","","0.42","-1","-1","media1.s-nbcnews.com","100","-1","https://www.msnbc.com/","6","741","/j/MSNBC/Components/Video/201811/n_mj_jacob_181102_1920x1080.focal-758x379.jpg","100","","Akamai","2512","1024","2104","2104","2512","408","1024","2512","1488","12","13","1","0","h2","low","image/jpeg","","","max-age=31327105","1","0","",
"104.78.230.61","1189","58739","","-1","87","Image","3","-1","-1","","1","","-1","-1","https://media1.s-nbcnews.com/j/MSNBC/Components/Video/201811/n_mj_first_181102_1920x1080.focal-758x379.jpg","-1","-1","200","-1","7543","59015","1","72","","181105_H5_9","-1","944","-1","100","31313918","58739","1024","-1","GET","58739","","","0.40","-1","-1","media1.s-nbcnews.com","100","-1","https://www.msnbc.com/","6","740","/j/MSNBC/Components/Video/201811/n_mj_first_181102_1920x1080.focal-758x379.jpg","100","","Akamai","2213","1024","1968","1968","2213","245","1024","2213","1189","13","14","1","0","h2","low","image/jpeg","","","max-age=31313918","1","0","",
"104.78.230.61","1278","37774","","-1","88","Image","3","-1","-1","","1","","-1","-1","https://media1.s-nbcnews.com/j/MSNBC/Components/Video/201811/n_mj_stevens_181102_1920x1080.focal-758x379.jpg","-1","-1","200","-1","4183","38052","1","73","","181105_H5_9","-1","967","-1","100","31329629","37774","1024","-1","GET","37774","","","0.41","-1","-1","media1.s-nbcnews.com","100","-1","https://www.msnbc.com/","6","741","/j/MSNBC/Components/Video/201811/n_mj_stevens_181102_1920x1080.focal-758x379.jpg","100","","Akamai","2302","1024","1991","1991","2302","311","1024","2302","1278","14","15","1","0","h2","low","image/jpeg","","","max-age=31329629","1","0","",
"104.78.230.61","718","3054","","-1","100","Image","3","-1","-1","","1","","-1","-1","https://media1.s-nbcnews.com/j/newscms/2018_37/2562771/nbcnews_no-art-channelcard_4c51d44fed85e5c487063471e88d4b48.focal-240x360.jpg","-1","-1","200","-1","0","3329","1","90","","181105_H5_9","-1","599","-1","100","29448003","3054","1024","-1","GET","3054","","","0.26","-1","-1","media1.s-nbcnews.com","100","-1","https://www.msnbc.com/","6","732","/j/newscms/2018_37/2562771/nbcnews_no-art-channelcard_4c51d44fed85e5c487063471e88d4b48.focal-240x360.jpg","100","","Akamai","1742","1024","1623","1623","1742","119","1024","1742","718","15","16","1","0","h2","low","image/jpeg","","","max-age=29448003","1","50","",
"104.78.230.61","1185","51883","","-1","87","Image","3","-1","-1","","1","","-1","-1","https://media1.s-nbcnews.com/j/MSNBC/Components/Video/201811/n_lw_amoore_181102_1920x1080.focal-758x379.jpg","-1","-1","200","-1","6569","52104","1","72","","181105_H5_9","-1","929","-1","100","2428538","51883","1024","-1","GET","51883","","","0.39","-1","-1","media1.s-nbcnews.com","100","-1","https://www.msnbc.com/","6","740","/j/MSNBC/Components/Video/201811/n_lw_amoore_181102_1920x1080.focal-758x379.jpg","100","","Akamai","2209","1024","1953","1953","2209","256","1024","2209","1185","16","17","1","0","h2","low","image/jpeg","","","public, max-age=2428538","1","0","",
"104.78.230.61","706","25661","","-1","100","Image","3","-1","-1","","1","","-1","-1","https://media1.s-nbcnews.com/j/MSNBC/Components/Video/201811/n_lw_bsully_181103_1920x1080.760;380;7;70;5.jpg","-1","-1","200","-1","0","25882","1","75","","181105_H5_9","-1","562","-1","100","2510415","25661","1024","-1","GET","25661","","","0.15","-1","-1","media1.s-nbcnews.com","100","-1","https://www.msnbc.com/","6","722","/j/MSNBC/Components/Video/201811/n_lw_bsully_181103_1920x1080.760;380;7;70;5.jpg","100","","Akamai","1730","1024","1586","1586","1730","144","1024","1730","706","17","18","1","0","h2","low","image/jpeg","","","public, max-age=2510415","1","0","",
"104.78.230.61","1778","95374","","-1","83","Image","3","-1","-1","","1","","-1","-1","https://media1.s-nbcnews.com/j/MSNBC/Components/Video/201811/n_bwms_trumpvoters_181102_1920x1080.focal-758x379.jpg","-1","-1","200","-1","15369","95650","1","77","","181105_H5_9","-1","1097","-1","100","31376149","95374","1025","-1","GET","95374","","","0.43","-1","-1","media1.s-nbcnews.com","100","-1","https://www.msnbc.com/","6","742","/j/MSNBC/Components/Video/201811/n_bwms_trumpvoters_181102_1920x1080.focal-758x379.jpg","100","","Akamai","2803","1025","2122","2122","2803","681","1025","2803","1778","18","19","1","0","h2","low","image/jpeg","","","max-age=31376149","1","0","",
"104.78.230.61","1297","40842","","-1","85","Image","3","-1","-1","","1","","-1","-1","https://media1.s-nbcnews.com/j/MSNBC/Components/Video/201811/n_bwms_trumpagenda_181102_1920x1080.focal-758x379.jpg","-1","-1","200","-1","5794","41118","1","77","","181105_H5_9","-1","1167","-1","100","31376016","40842","1026","-1","GET","40842","","","0.44","-1","-1","media1.s-nbcnews.com","100","-1","https://www.msnbc.com/","6","743","/j/MSNBC/Components/Video/201811/n_bwms_trumpagenda_181102_1920x1080.focal-758x379.jpg","100","","Akamai","2323","1026","2193","2193","2323","130","1026","2323","1297","19","20","1","0","h2","low","image/jpeg","","","max-age=31376016","1","0","",
"104.78.230.61","1178","60062","","-1","86","Image","3","-1","-1","","1","","-1","-1","https://media1.s-nbcnews.com/j/MSNBC/Components/Video/201811/n_lw_cabrams_181102_1920x1080.focal-758x379.jpg","-1","-1","200","-1","7845","60283","1","73","","181105_H5_9","-1","874","-1","100","2428969","60062","1026","-1","GET","60062","","","0.38","-1","-1","media1.s-nbcnews.com","100","-1","https://www.msnbc.com/","6","739","/j/MSNBC/Components/Video/201811/n_lw_cabrams_181102_1920x1080.focal-758x379.jpg","100","","Akamai","2204","1026","1900","1900","2204","304","1026","2204","1178","20","21","1","0","h2","low","image/jpeg","","","public, max-age=2428969","1","0","",
"104.78.230.61","1026","38545","","-1","89","Image","3","-1","-1","","1","","-1","-1","https://media1.s-nbcnews.com/j/MSNBC/Components/Video/201811/n_lw_escholten_181102_1920x1080.focal-758x379.jpg","-1","-1","200","-1","4162","38766","1","74","","181105_H5_9","-1","834","-1","100","2428936","38545","1026","-1","GET","38545","","","0.37","-1","-1","media1.s-nbcnews.com","100","-1","https://www.msnbc.com/","6","738","/j/MSNBC/Components/Video/201811/n_lw_escholten_181102_1920x1080.focal-758x379.jpg","100","","Akamai","2052","1026","1860","1860","2052","192","1026","2052","1026","21","22","1","0","h2","low","image/jpeg","","","public, max-age=2428936","1","0","",
"104.78.230.61","707","34411","","-1","100","Image","3","-1","-1","","1","","-1","-1","https://media1.s-nbcnews.com/j/MSNBC/Components/Video/201811/n_msnbc_moore_181104_1920x1080.760;380;7;70;5.jpg","-1","-1","200","-1","0","34687","1","75","","181105_H5_9","-1","410","-1","100","31525548","34411","1026","-1","GET","34411","","","0.14","-1","-1","media1.s-nbcnews.com","100","-1","https://www.msnbc.com/","6","722","/j/MSNBC/Components/Video/201811/n_msnbc_moore_181104_1920x1080.760;380;7;70;5.jpg","100","","Akamai","1733","1026","1436","1436","1733","297","1026","1733","707","22","23","1","0","h2","low","image/jpeg","","","max-age=31525548","1","0","",
"104.78.230.61","1304","41990","","-1","86","Image","3","-1","-1","","1","","-1","-1","https://media1.s-nbcnews.com/j/MSNBC/Components/Video/201811/n_bwms_trumpobama_181102_1920x1080.focal-758x379.jpg","-1","-1","200","-1","5694","42266","1","77","","181105_H5_9","-1","1179","-1","100","31376113","41990","1027","-1","GET","41990","","","0.45","-1","-1","media1.s-nbcnews.com","100","-1","https://www.msnbc.com/","6","743","/j/MSNBC/Components/Video/201811/n_bwms_trumpobama_181102_1920x1080.focal-758x379.jpg","100","","Akamai","2331","1027","2206","2206","2331","125","1027","2331","1304","23","24","1","0","h2","low","image/jpeg","","","max-age=31376113","1","0","",
"104.78.230.61","655","50565","","-1","86","Image","3","-1","-1","","1","","-1","-1","https://media1.s-nbcnews.com/j/MSNBC/Components/Video/201811/n_gura_Georgia_111804_1920x1080.focal-760x380.jpg","-1","-1","200","-1","6582","50841","1","74","","181105_H5_9","-1","378","-1","100","31509233","50565","1027","-1","GET","50565","","","0.11","-1","-1","media1.s-nbcnews.com","100","-1","https://www.msnbc.com/","6","718","/j/MSNBC/Components/Video/201811/n_gura_Georgia_111804_1920x1080.focal-760x380.jpg","100","","Akamai","1682","1027","1405","1405","1682","277","1027","1682","655","24","25","1","0","h2","low","image/jpeg","","","max-age=31509233","1","0","",
"104.78.230.61","471","44301","","-1","88","Image","3","-1","-1","","1","","-1","-1","https://media1.s-nbcnews.com/j/MSNBC/Components/Video/201811/matters1maine.focal-760x380.jpg","-1","-1","200","-1","5111","44576","1","61","","181105_H5_9","-1","287","-1","100","31505296","44301","1027","-1","GET","44301","","","0.10","-1","-1","media1.s-nbcnews.com","100","-1","https://www.msnbc.com/","6","717","/j/MSNBC/Components/Video/201811/matters1maine.focal-760x380.jpg","100","","Akamai","1498","1027","1314","1314","1498","184","1027","1498","471","25","26","1","0","h2","low","image/jpeg","","","max-age=31505296","1","0","",
"104.78.230.61","438","50425","","-1","86","Image","3","-1","-1","","1","","-1","-1","https://media1.s-nbcnews.com/j/MSNBC/Components/Video/201811/n_joy_texassenaterace_181104_1920x1080.focal-760x380.jpg","-1","-1","200","-1","6697","50701","1","79","","181105_H5_9","-1","164","-1","100","31512823","50425","1027","-1","GET","50425","","","0.8","-1","-1","media1.s-nbcnews.com","100","-1","https://www.msnbc.com/","6","716","/j/MSNBC/Components/Video/201811/n_joy_texassenaterace_181104_1920x1080.focal-760x380.jpg","100","","Akamai","1465","1027","1191","1191","1465","274","1027","1465","438","26","27","1","0","h2","low","image/jpeg","","","max-age=31512823","1","0","",
"104.78.230.61","693","69248","","-1","86","Image","3","-1","-1","","1","","-1","-1","https://media1.s-nbcnews.com/j/MSNBC/Components/Video/201811/n_joy_floridaoverview_181104_1920x1080.focal-760x380.jpg","-1","-1","200","-1","9204","69524","1","80","","181105_H5_9","-1","348","-1","100","31510625","69248","1028","-1","GET","69248","","","0.9","-1","-1","media1.s-nbcnews.com","100","-1","https://www.msnbc.com/","6","717","/j/MSNBC/Components/Video/201811/n_joy_floridaoverview_181104_1920x1080.focal-760x380.jpg","100","","Akamai","1721","1028","1376","1376","1721","345","1028","1721","693","27","28","1","0","h2","low","image/jpeg","","","max-age=31510625","1","0","",
"104.78.230.61","387","57960","","-1","84","Image","3","-1","-1","","1","","-1","-1","https://media1.s-nbcnews.com/j/MSNBC/Components/Video/201811/n_gura_trumpvsobama_111804_1920x1080.focal-760x380.jpg","-1","-1","200","-1","9142","58181","1","78","","181105_H5_9","-1","41","-1","100","2558435","57960","1028","-1","GET","57960","","","0.7","-1","-1","media1.s-nbcnews.com","100","-1","https://www.msnbc.com/","6","715","/j/MSNBC/Components/Video/201811/n_gura_trumpvsobama_111804_1920x1080.focal-760x380.jpg","100","","Akamai","1415","1028","1069","1069","1415","346","1028","1415","387","28","29","1","0","h2","low","image/jpeg","","","public, max-age=2558435","1","0","",
"104.78.230.61","667","63659","","-1","83","Image","3","-1","-1","","1","","-1","-1","https://media1.s-nbcnews.com/j/MSNBC/Components/Video/201811/n_joy_guncontrol_181104_1920x1080.focal-760x380.jpg","-1","-1","200","-1","10197","63935","1","76","","181105_H5_9","-1","389","-1","100","31512851","63659","1029","-1","GET","63659","","","0.12","-1","-1","media1.s-nbcnews.com","100","-1","https://www.msnbc.com/","6","719","/j/MSNBC/Components/Video/201811/n_joy_guncontrol_181104_1920x1080.focal-760x380.jpg","100","","Akamai","1696","1029","1418","1418","1696","278","1029","1696","667","29","30","1","0","h2","low","image/jpeg","","","max-age=31512851","1","0","",
"104.78.230.61","694","69001","","-1","85","Image","3","791","1023","","1","","-1","906","https://media1.s-nbcnews.com/j/MSNBC/Components/Video/201811/n_joy_maxinewaters_181104_1920x1080.focal-760x380.jpg","95","906","200","117","10020","69277","1","264","","181105_H5_9","886","315","888","100","31515085","69001","1029","18","GET","69001","","","0.6","-1","-1","media1.s-nbcnews.com","100","-1","https://www.msnbc.com/","6","714","/j/MSNBC/Components/Video/201811/n_joy_maxinewaters_181104_1920x1080.focal-760x380.jpg","100","","Akamai","1723","1029","1344","1344","1723","379","791","1723","924","30","31","1","0","h2","low","image/jpeg","","","max-age=31515085","1","0","",
"104.78.230.61","887","68800","","-1","84","Image","3","-1","-1","","1","","-1","-1","https://media1.s-nbcnews.com/j/MSNBC/Components/Video/201811/Bento_Header_1-16x9.focal-758x379.jpg","-1","-1","200","-1","10686","69076","1","67","","181105_H5_9","-1","615","-1","100","31356192","68800","1031","-1","GET","68800","","","0.28","-1","-1","media1.s-nbcnews.com","100","-1","https://www.msnbc.com/","6","733","/j/MSNBC/Components/Video/201811/Bento_Header_1-16x9.focal-758x379.jpg","100","","Akamai","1918","1031","1646","1646","1918","272","1031","1918","887","31","32","1","0","h2","low","image/jpeg","","","max-age=31356192","1","0","",
"104.78.230.61","822","49197","","-1","88","Image","3","-1","-1","","1","","-1","-1","https://media1.s-nbcnews.com/j/MSNBC/Components/Video/201811/n_maddow_a1waiver_181102_1920x1080.focal-760x380.jpg","-1","-1","200","-1","5728","49473","1","76","","181105_H5_9","-1","640","-1","100","31375705","49197","1031","-1","GET","49197","","","0.29","-1","-1","media1.s-nbcnews.com","100","-1","https://www.msnbc.com/","6","733","/j/MSNBC/Components/Video/201811/n_maddow_a1waiver_181102_1920x1080.focal-760x380.jpg","100","","Akamai","1853","1031","1671","1671","1853","182","1031","1853","822","32","33","1","0","h2","low","image/jpeg","","","max-age=31375705","1","0","",
"104.78.230.61","1062","76774","","-1","85","Image","3","-1","-1","","1","","-1","-1","https://media1.s-nbcnews.com/j/newscms/2018_44/2630881/181102-donald-trump-military-ew-522p_da4fb9bc158641dba016ea30f168e710.focal-760x380.jpg","-1","-1","200","-1","11278","77050","1","96","","181105_H5_9","-1","710","-1","100","31496967","76774","1031","-1","GET","76774","","","0.33","-1","-1","media1.s-nbcnews.com","100","-1","https://www.msnbc.com/","6","735","/j/newscms/2018_44/2630881/181102-donald-trump-military-ew-522p_da4fb9bc158641dba016ea30f168e710.focal-760x380.jpg","100","","Akamai","2093","1031","1741","1741","2093","352","1031","2093","1062","33","34","1","0","h2","low","image/jpeg","","","max-age=31496967","1","0","",
"104.78.230.61","904","54900","","-1","86","Image","3","-1","-1","","1","","-1","-1","https://media1.s-nbcnews.com/j/MSNBC/Components/Video/201811/n_maddow_cfox_181102_1920x1080.focal-760x380.jpg","-1","-1","200","-1","7377","55176","1","74","","181105_H5_9","-1","698","-1","100","31375805","54900","1031","-1","GET","54900","","","0.32","-1","-1","media1.s-nbcnews.com","100","-1","https://www.msnbc.com/","6","735","/j/MSNBC/Components/Video/201811/n_maddow_cfox_181102_1920x1080.focal-760x380.jpg","100","","Akamai","1935","1031","1729","1729","1935","206","1031","1935","904","34","35","1","0","h2","low","image/jpeg","","","max-age=31375805","1","0","",
"104.78.230.61","891","58500","","-1","87","Image","3","-1","-1","","1","","-1","-1","https://media1.s-nbcnews.com/j/MSNBC/Components/Video/201811/n_maddow_btrump_181102_1920x1080.focal-760x380.jpg","-1","-1","200","-1","7456","58776","1","75","","181105_H5_9","-1","689","-1","100","31375885","58500","1031","-1","GET","58500","","","0.31","-1","-1","media1.s-nbcnews.com","100","-1","https://www.msnbc.com/","6","734","/j/MSNBC/Components/Video/201811/n_maddow_btrump_181102_1920x1080.focal-760x380.jpg","100","","Akamai","1922","1031","1720","1720","1922","202","1031","1922","891","35","36","1","0","h2","low","image/jpeg","","","max-age=31375885","1","0","",
"104.78.230.61","843","46340","","-1","88","Image","3","-1","-1","","1","","-1","-1","https://media1.s-nbcnews.com/j/MSNBC/Components/Video/201811/n_maddow_a2georgia_181102_1920x1080.focal-760x380.jpg","-1","-1","200","-1","5346","46616","1","77","","181105_H5_9","-1","642","-1","100","31375773","46340","1031","-1","GET","46340","","","0.30","-1","-1","media1.s-nbcnews.com","100","-1","https://www.msnbc.com/","6","734","/j/MSNBC/Components/Video/201811/n_maddow_a2georgia_181102_1920x1080.focal-760x380.jpg","100","","Akamai","1874","1031","1673","1673","1874","201","1031","1874","843","36","37","1","0","h2","low","image/jpeg","","","max-age=31375773","1","0","",
"104.78.230.61","599","40448","","-1","100","Image","3","-1","-1","","1","","-1","-1","https://media1.s-nbcnews.com/j/MSNBC/Components/Video/201811/n_gura_Missouri_111804_1920x1080.760;380;7;70;5.jpg","-1","-1","200","-1","0","40723","1","77","","181105_H5_9","-1","398","-1","100","31504191","40448","1031","-1","GET","40448","","","0.13","-1","-1","media1.s-nbcnews.com","100","-1","https://www.msnbc.com/","6","721","/j/MSNBC/Components/Video/201811/n_gura_Missouri_111804_1920x1080.760;380;7;70;5.jpg","100","","Akamai","1630","1031","1429","1429","1630","201","1031","1630","599","37","38","1","0","h2","low","image/jpeg","","","max-age=31504191","1","0","",
"104.78.230.61","1155","83614","","-1","84","Image","3","-1","-1","","1","","-1","-1","https://media1.s-nbcnews.com/j/newscms/2018_44/2631121/181102-bohemian-rhapsody-al-2000_ab180b88d1ccc4be5ccdc4bfb3736f6f.focal-760x380.jpg","-1","-1","200","-1","12772","83890","1","93","","181105_H5_9","-1","787","-1","100","31391751","83614","1031","-1","GET","83614","","","0.36","-1","-1","media1.s-nbcnews.com","100","-1","https://www.msnbc.com/","6","738","/j/newscms/2018_44/2631121/181102-bohemian-rhapsody-al-2000_ab180b88d1ccc4be5ccdc4bfb3736f6f.focal-760x380.jpg","100","","Akamai","2186","1031","1818","1818","2186","368","1031","2186","1155","38","39","1","0","h2","low","image/jpeg","","","max-age=31391751","1","0","",
"104.78.230.61","2901","2125565","","-1","100","Image","3","-1","-1","","1","","-1","-1","https://media1.s-nbcnews.com/j/newscms/2018_43/2620051/181025-drake-cover_2ee471d42d039d1dffd3d8310bd2470c.focal-760x380.gif","-1","-1","200","-1","0","2125842","1","83","","181105_H5_9","-1","770","-1","100","31505628","2125565","1032","-1","GET","2125565","","","0.34","-1","-1","media1.s-nbcnews.com","100","-1","https://www.msnbc.com/","6","737","/j/newscms/2018_43/2620051/181025-drake-cover_2ee471d42d039d1dffd3d8310bd2470c.focal-760x380.gif","100","","Akamai","3933","1032","1802","1802","3933","2131","1032","3933","2901","39","40","1","0","h2","low","image/gif","","","max-age=31505628","","","",
