"ip_addr","load_ms","image_total","minify_save","score_cookies","score_compress","requestType","type","dns_start","ssl_end","contentType","gzip_save","is_secure","server_count","score_gzip","ssl_start","full_url","dns_ms","connect_end","responseCode","ssl_ms","image_save","bytesIn","initiator_line","bytesOut","minify_total","id","dns_end","ttfb_ms","connect_start","score_cdn","cache_time","objectSizeUncompressed","load_start","connect_ms","method","objectSize","gzip_total","initiator_column","request_id","score_combine","score_etags","host","score_keep-alive","score_minify","initiator","socket","created","url","score_cache","server_rtt","cdn_provider","load_end","ttfb_start","ttfb_end","download_start","download_end","download_ms","all_start","all_end","all_ms","index","number","run","cached","protocol","priority","is_base_page","cacheControl","contentEncoding","expires","jpeg_scan_count","score_progressive_jpeg",
"23.35.28.177","323","","","-1","-1","Script","3","-1","-1","application/x-javascript","0","1","","100","-1","https://www.apple.com/ac/globalnav/4/en_US/scripts/ac-globalnav.built.js","-1","-1","200","-1","","36647","90","409","","181105_YT_H","-1","77","-1","100","69","133497","1173","-1","GET","36380","36380","","0.10","-1","-1","www.apple.com","100","-1","https://www.apple.com/","3","973","/ac/globalnav/4/en_US/scripts/ac-globalnav.built.js","0","","Akamai","1496","1173","1250","1250","1496","246","1173","1496","323","10","11","1","0","http/1.1","high","","max-age=69","gzip","Mon, 05 Nov 2018 00:56:18 GMT","","",
"23.35.28.177","302","","","-1","-1","Script","3","-1","-1","application/x-javascript","0","1","","100","-1","https://www.apple.com/ac/globalfooter/3/en_US/scripts/ac-globalfooter.built.js","-1","-1","200","-1","","4871","90","415","","181105_YT_H","-1","66","-1","100","","14175","1184","-1","GET","4606","4606","","0.12","-1","-1","www.apple.com","100","-1","https://www.apple.com/","4","974","/ac/globalfooter/3/en_US/scripts/ac-globalfooter.built.js","-1","","Akamai","1486","1184","1250","1250","1486","236","1184","1486","302","11","12","1","0","http/1.1","high","","max-age=0","gzip","Mon, 05 Nov 2018 00:55:09 GMT","","",
"23.35.28.177","434","","","-1","-1","Script","3","-1","-1","application/x-javascript","0","1","","100","-1","https://www.apple.com/ac/localeswitcher/2/en_US/scripts/localeswitcher.built.js","-1","-1","200","-1","","56781","90","416","","181105_YT_H","-1","95","-1","100","","199928","1242","-1","GET","56439","56439","","0.13","-1","-1","www.apple.com","100","-1","https://www.apple.com/","2","974","/ac/localeswitcher/2/en_US/scripts/localeswitcher.built.js","-1","","Akamai","1676","1242","1337","1337","1676","339","1242","1676","434","12","13","1","0","http/1.1","high","","max-age=0","gzip","Mon, 05 Nov 2018 00:55:09 GMT","","",
"23.35.28.177","424","","","-1","-1","Script","3","-1","-1","application/x-javascript","0","1","","100","-1","https://www.apple.com/v/home/dy/built/scripts/main.built.js","-1","-1","200","-1","","51386","90","396","","181105_YT_H","-1","101","-1","100","","208888","1253","-1","GET","51044","51044","","0.14","-1","-1","www.apple.com","100","-1","https://www.apple.com/","4","974","/v/home/dy/built/scripts/main.built.js","-1","","Akamai","1677","1253","1354","1354","1677","323","1253","1677","424","13","14","1","0","http/1.1","high","","max-age=0","gzip","Mon, 05 Nov 2018 00:55:09 GMT","","",
"23.35.28.177","408","","","-1","-1","Stylesheet","3","-1","-1","text/css","0","1","","100","-1","https://www.apple.com/ac/ac-films/5.3.2/styles/modal.css","-1","-1","200","-1","","14313","90","408","","181105_YT_H","-1","82","-1","100","","88616","1263","-1","GET","14063","14063","","0.15","-1","-1","www.apple.com","100","-1","https://www.apple.com/","1","976","/ac/ac-films/5.3.2/styles/modal.css","-1","","Akamai","1671","1263","1345","1345","1671","326","1263","1671","408","14","15","1","0","http/1.1","high","","max-age=0","gzip","Mon, 05 Nov 2018 00:55:09 GMT","","",
"23.35.28.177","362","","","-1","-1","Script","3","-1","-1","application/x-javascript","0","1","","100","-1","https://www.apple.com/ac/ac-films/5.3.2/scripts/autofilms.built.js","-1","-1","200","-1","","84553","90","403","","181105_YT_H","-1","91","-1","100","","358100","1317","-1","GET","84192","84192","","0.16","-1","-1","www.apple.com","100","-1","https://www.apple.com/","3","977","/ac/ac-films/5.3.2/scripts/autofilms.built.js","-1","","Akamai","1679","1317","1408","1408","1679","271","1317","1679","362","15","16","1","0","http/1.1","high","","max-age=0","gzip","Mon, 05 Nov 2018 00:55:09 GMT","","",
"23.35.28.177","110","","","-1","-1","Image","3","-1","-1","image/svg+xml","","1","","-1","-1","https://www.apple.com/ac/globalnav/4/en_US/images/globalnav/apple/image_small.svg","-1","-1","200","-1","","846","3","476","","181105_YT_H","-1","68","-1","100","125","570","1575","-1","GET","570","","21503","0.17","-1","-1","www.apple.com","100","-1","https://www.apple.com/ac/globalnav/4/en_US/scripts/ac-globalnav.built.js","1","1574","/ac/globalnav/4/en_US/images/globalnav/apple/image_small.svg","0","","Akamai","1685","1575","1643","1643","1685","42","1575","1685","110","16","17","1","0","http/1.1","low","","max-age=125","","Mon, 05 Nov 2018 00:57:15 GMT","","",
"23.35.28.177","105","","","-1","-1","Image","3","-1","-1","image/svg+xml","","1","","-1","-1","https://www.apple.com/ac/globalnav/4/en_US/images/globalnav/bag/image_small.svg","-1","-1","200","-1","","730","3","474","","181105_YT_H","-1","67","-1","100","178","454","1576","-1","GET","454","","21503","0.18","-1","-1","www.apple.com","100","-1","https://www.apple.com/ac/globalnav/4/en_US/scripts/ac-globalnav.built.js","2","1575","/ac/globalnav/4/en_US/images/globalnav/bag/image_small.svg","0","","Akamai","1681","1576","1643","1643","1681","38","1576","1681","105","17","18","1","0","http/1.1","low","","max-age=178","","Mon, 05 Nov 2018 00:58:08 GMT","","",
"23.35.28.177","110","","","-1","-1","Image","3","-1","-1","image/svg+xml","","1","","-1","-1","https://www.apple.com/ac/globalnav/4/en_US/images/globalnav/search/image_small.svg","-1","-1","200","-1","","661","3","477","","181105_YT_H","-1","68","-1","100","87","386","1577","-1","GET","386","","21503","0.19","-1","-1","www.apple.com","100","-1","https://www.apple.com/ac/globalnav/4/en_US/scripts/ac-globalnav.built.js","3","1576","/ac/globalnav/4/en_US/images/globalnav/search/image_small.svg","0","","Akamai","1687","1577","1645","1645","1687","42","1577","1687","110","18","19","1","0","http/1.1","low","","max-age=87","","Mon, 05 Nov 2018 00:56:37 GMT","","",
"23.35.28.177","112","","","-1","-1","Image","3","-1","-1","image/svg+xml","","1","","-1","-1","https://www.apple.com/ac/globalnav/4/en_US/images/globalnav/links/mac/image_small.svg","-1","-1","200","-1","","1101","3","480","","181105_YT_H","-1","60","-1","100","71","826","1578","-1","GET","826","","21503","0.20","-1","-1","www.apple.com","100","-1","https://www.apple.com/ac/globalnav/4/en_US/scripts/ac-globalnav.built.js","4","1577","/ac/globalnav/4/en_US/images/globalnav/links/mac/image_small.svg","0","","Akamai","1690","1578","1638","1638","1690","52","1578","1690","112","19","20","1","0","http/1.1","low","","max-age=71","","Mon, 05 Nov 2018 00:56:21 GMT","","",
"23.35.28.177","517","","","-1","-1","Image","3","-1","-1","image/svg+xml","0","1","","100","-1","https://www.apple.com/ac/globalnav/4/en_US/images/globalnav/links/ipad/image_small.svg","-1","-1","200","-1","","880","3","481","","181105_YT_H","-1","80","-1","100","179","990","1643","-1","GET","544","544","21503","0.21","-1","-1","www.apple.com","100","-1","https://www.apple.com/ac/globalnav/4/en_US/scripts/ac-globalnav.built.js","2","1584","/ac/globalnav/4/en_US/images/globalnav/links/ipad/image_small.svg","0","","Akamai","2160","1643","1723","1723","2160","437","1643","2160","517","20","21","1","0","http/1.1","low","","max-age=179","gzip","Mon, 05 Nov 2018 00:58:09 GMT","","",
"23.35.28.177","519","","","-1","-1","Image","3","-1","-1","image/svg+xml","0","1","","100","-1","https://www.apple.com/ac/globalnav/4/en_US/images/globalnav/links/iphone/image_small.svg","-1","-1","200","-1","","1214","3","483","","181105_YT_H","-1","80","-1","100","179","1699","1644","-1","GET","895","895","21503","0.22","-1","-1","www.apple.com","100","-1","https://www.apple.com/ac/globalnav/4/en_US/scripts/ac-globalnav.built.js","1","1585","/ac/globalnav/4/en_US/images/globalnav/links/iphone/image_small.svg","0","","Akamai","2163","1644","1724","1724","2163","439","1644","2163","519","21","22","1","0","http/1.1","low","","max-age=179","gzip","Mon, 05 Nov 2018 00:58:09 GMT","","",
"23.35.28.177","522","","","-1","-1","Image","3","-1","-1","image/svg+xml","0","1","","100","-1","https://www.apple.com/ac/globalnav/4/en_US/images/globalnav/links/watch/image_small.svg","-1","-1","200","-1","","942","3","482","","181105_YT_H","-1","80","-1","100","538","1166","1644","-1","GET","623","623","21503","0.23","-1","-1","www.apple.com","100","-1","https://www.apple.com/ac/globalnav/4/en_US/scripts/ac-globalnav.built.js","3","1586","/ac/globalnav/4/en_US/images/globalnav/links/watch/image_small.svg","0","","Akamai","2166","1644","1724","1724","2166","442","1644","2166","522","22","23","1","0","http/1.1","low","","max-age=538","gzip","Mon, 05 Nov 2018 01:04:08 GMT","","",
"23.35.28.177","512","","","-1","-1","Image","3","-1","-1","image/svg+xml","","1","","-1","-1","https://www.apple.com/ac/globalnav/4/en_US/images/globalnav/links/tv/image_small.svg","-1","-1","200","-1","","564","3","479","","181105_YT_H","-1","77","-1","100","112","271","1645","-1","GET","271","","21503","0.24","-1","-1","www.apple.com","100","-1","https://www.apple.com/ac/globalnav/4/en_US/scripts/ac-globalnav.built.js","4","1586","/ac/globalnav/4/en_US/images/globalnav/links/tv/image_small.svg","0","","Akamai","2157","1645","1722","1722","2157","435","1645","2157","512","23","24","1","0","http/1.1","low","","max-age=112","","Mon, 05 Nov 2018 00:57:02 GMT","","",
"23.35.28.177","442","","","-1","-1","XHR","3","-1","-1","text/html; charset=UTF-8; encoding=UTF8","0","1","","100","-1","https://www.apple.com/us/shop/bag/status?apikey=SFX9YPYY9PPXCU9KH","-1","-1","200","-1","","565","1","402","","181105_YT_H","-1","137","-1","100","","137","1727","-1","GET","118","118","2387","0.27","-1","-1","www.apple.com","100","-1","https://www.apple.com/ac/globalnav/4/en_US/scripts/ac-globalnav.built.js","4","1669","/us/shop/bag/status?apikey=SFX9YPYY9PPXCU9KH","-1","","Akamai","2169","1727","1864","1864","2169","305","1727","2169","442","24","25","1","0","http/1.1","medium","","private, no-cache, no-store, must-revalidate, proxy-revalidate, post-check=0, pre-check=0","gzip","Mon, 05 Nov 2018 00:55:10 GMT","","",
"23.35.28.177","443","","","-1","-1","Image","3","-1","-1","image/svg+xml","0","1","","100","-1","https://www.apple.com/ac/globalnav/4/en_US/images/globalnav/links/music/image_small.svg","-1","-1","200","-1","","924","3","482","","181105_YT_H","-1","160","-1","100","461","1077","1730","-1","GET","588","588","21503","0.25","-1","-1","www.apple.com","100","-1","https://www.apple.com/ac/globalnav/4/en_US/scripts/ac-globalnav.built.js","3","1587","/ac/globalnav/4/en_US/images/globalnav/links/music/image_small.svg","0","","Akamai","2173","1730","1890","1890","2173","283","1730","2173","443","25","26","1","0","http/1.1","low","","max-age=461","gzip","Mon, 05 Nov 2018 01:02:51 GMT","","",
"23.35.28.177","462","","","-1","-1","Font","3","-1","-1","font/woff2","","1","","-1","-1","https://www.apple.com/wss/fonts/SF-Pro-Text/v2/sf-pro-text_bold.woff2","-1","-1","200","-1","","108715","271","406","","181105_YT_H","-1","235","-1","100","30818732","108468","1733","-1","GET","108468","","","0.28","-1","-1","www.apple.com","100","-1","https://www.apple.com/","2","1692","/wss/fonts/SF-Pro-Text/v2/sf-pro-text_bold.woff2","100","","Akamai","2195","1733","1968","1968","2195","227","1733","2195","462","26","27","1","0","http/1.1","medium","","max-age=30818732","","Sun, 27 Oct 2019 17:40:42 GMT","","",
"23.35.28.177","444","","","-1","-1","Font","3","-1","-1","font/woff2","","1","","-1","-1","https://www.apple.com/wss/fonts/SF-Pro-Text/v2/sf-pro-text_regular.woff2","-1","-1","200","-1","","99442","271","409","","181105_YT_H","-1","236","-1","100","30818775","99196","1733","-1","GET","99196","","","0.29","-1","-1","www.apple.com","100","-1","https://www.apple.com/","1","1693","/wss/fonts/SF-Pro-Text/v2/sf-pro-text_regular.woff2","100","","Akamai","2177","1733","1969","1969","2177","208","1733","2177","444","27","28","1","0","http/1.1","medium","","max-age=30818775","","Sun, 27 Oct 2019 17:41:25 GMT","","",
"23.35.28.177","342","","","-1","-1","XHR","3","-1","-1","application/json","0","1","","100","-1","https://www.apple.com/ac/localeswitcher/2/en_US/content/localeswitcher.json","-1","-1","200","-1","","711","6","412","","181105_YT_H","-1","211","-1","100","140","1185","1869","-1","GET","372","372","27453","0.30","-1","-1","www.apple.com","100","-1","https://www.apple.com/ac/localeswitcher/2/en_US/scripts/localeswitcher.built.js","3","1868","/ac/localeswitcher/2/en_US/content/localeswitcher.json","0","","Akamai","2211","1869","2080","2080","2211","131","1869","2211","342","28","29","1","0","http/1.1","medium","","max-age=140","gzip","Mon, 05 Nov 2018 00:57:30 GMT","","",
"23.35.28.177","489","","","-1","-1","Image","3","-1","-1","image/svg+xml","0","1","","100","-1","https://www.apple.com/ac/globalnav/4/en_US/images/globalnav/links/support/image_small.svg","-1","-1","200","-1","","956","3","484","","181105_YT_H","-1","347","-1","100","79","1378","1891","-1","GET","638","638","21503","0.26","-1","-1","www.apple.com","100","-1","https://www.apple.com/ac/globalnav/4/en_US/scripts/ac-globalnav.built.js","4","1587","/ac/globalnav/4/en_US/images/globalnav/links/support/image_small.svg","0","","Akamai","2380","1891","2238","2238","2380","142","1891","2380","489","29","30","1","0","http/1.1","low","","max-age=79","gzip","Mon, 05 Nov 2018 00:56:29 GMT","","",
"23.35.28.177","228","4800","","-1","100","Image","3","-1","-1","image/png","","1","","-1","-1","https://www.apple.com/v/home/dy/images/logos/iphone_xs_logo_hero_a5d05_small_2x.png","-1","-1","200","-1","0","5074","6","478","","181105_YT_H","-1","108","-1","100","1128","4800","1990","-1","GET","4800","","5802","0.31","-1","-1","www.apple.com","100","-1","https://www.apple.com/v/home/dy/built/scripts/main.built.js","1","1929","/v/home/dy/images/logos/iphone_xs_logo_hero_a5d05_small_2x.png","0","","Akamai","2218","1990","2098","2098","2218","120","1990","2218","228","30","31","1","0","http/1.1","low","","max-age=1128","","Mon, 05 Nov 2018 01:13:58 GMT","","",
"23.35.28.177","276","4789","","-1","100","Image","3","-1","-1","image/png","","1","","-1","-1","https://www.apple.com/v/home/dy/images/logos/iphone_xr_logo_hero_9d70d_small_2x.png","-1","-1","200","-1","0","5063","6","478","","181105_YT_H","-1","78","-1","100","1845","4789","2100","-1","GET","4789","","5802","0.32","-1","-1","www.apple.com","100","-1","https://www.apple.com/v/home/dy/built/scripts/main.built.js","2","1930","/v/home/dy/images/logos/iphone_xr_logo_hero_9d70d_small_2x.png","0","","Akamai","2376","2100","2178","2178","2376","198","2100","2376","276","31","32","1","0","http/1.1","low","","max-age=1845","","Mon, 05 Nov 2018 01:25:55 GMT","","",
"23.35.28.177","277","3319","","-1","100","Image","3","-1","-1","image/png","","1","","-1","-1","https://www.apple.com/v/home/dy/images/logos/music_47492_small_2x.png","-1","-1","200","-1","0","3592","6","464","","181105_YT_H","-1","77","-1","100","507","3319","2101","-1","GET","3319","","5802","0.34","-1","-1","www.apple.com","100","-1","https://www.apple.com/v/home/dy/built/scripts/main.built.js","1","1932","/v/home/dy/images/logos/music_47492_small_2x.png","0","","Akamai","2378","2101","2178","2178","2378","200","2101","2378","277","32","33","1","0","http/1.1","low","","max-age=507","","Mon, 05 Nov 2018 01:03:37 GMT","","",
"23.35.28.177","273","7147","","-1","100","Image","3","-1","-1","image/jpeg","","1","","-1","-1","https://www.apple.com/v/home/dy/images/logos/apple_watch_series_4_logo_hero_d4753_small_2x.jpg","-1","-1","200","-1","0","7422","6","489","","181105_YT_H","-1","76","-1","100","1405","7147","2101","-1","GET","7147","","5802","0.33","-1","-1","www.apple.com","100","-1","https://www.apple.com/v/home/dy/built/scripts/main.built.js","3","1930","/v/home/dy/images/logos/apple_watch_series_4_logo_hero_d4753_small_2x.jpg","0","","Akamai","2374","2101","2177","2177","2374","197","2101","2374","273","33","34","1","0","http/1.1","low","","max-age=1405","","Mon, 05 Nov 2018 01:18:35 GMT","10","100",
"23.35.28.177","410","","","-1","-1","XHR","3","-1","-1","application/json","","1","","-1","-1","https://www.apple.com/search-services/suggestions/","-1","-1","200","-1","","946","1","575","","181105_YT_H","-1","244","-1","100","287","495","2122","-1","POST","495","","21412","0.38","-1","-1","www.apple.com","100","-1","https://www.apple.com/ac/globalnav/4/en_US/scripts/ac-globalnav.built.js","1","2121","/search-services/suggestions/","0","","Akamai","2532","2122","2366","2366","2532","166","2122","2532","410","34","35","1","0","http/1.1","medium","","max-age=287","","Mon, 05 Nov 2018 00:59:57 GMT","","",
"23.35.28.177","204","2656","","-1","100","Image","3","-1","-1","image/png","","1","","-1","-1","https://www.apple.com/v/home/dy/images/logos/tv_4k__beokf3dqlzxu_small_2x.png","-1","-1","200","-1","0","2930","6","472","","181105_YT_H","-1","51","-1","100","1185","2656","2181","-1","GET","2656","","5802","0.36","-1","-1","www.apple.com","100","-1","https://www.apple.com/v/home/dy/built/scripts/main.built.js","2","1933","/v/home/dy/images/logos/tv_4k__beokf3dqlzxu_small_2x.png","0","","Akamai","2385","2181","2232","2232","2385","153","2181","2385","204","35","36","1","0","http/1.1","low","","max-age=1185","","Mon, 05 Nov 2018 01:14:55 GMT","","",
"23.35.28.177","204","3031","","-1","100","Image","3","-1","-1","image/png","","1","","-1","-1","https://www.apple.com/v/home/dy/images/promos/queen/icon_apple_music_cb04b_small_2x.png","-1","-1","200","-1","0","3304","6","482","","181105_YT_H","-1","51","-1","100","393","3031","2181","-1","GET","3031","","5802","0.35","-1","-1","www.apple.com","100","-1","https://www.apple.com/v/home/dy/built/scripts/main.built.js","3","1933","/v/home/dy/images/promos/queen/icon_apple_music_cb04b_small_2x.png","0","","Akamai","2385","2181","2232","2232","2385","153","2181","2385","204","36","37","1","0","http/1.1","low","","max-age=393","","Mon, 05 Nov 2018 01:01:43 GMT","","",
"23.35.28.177","403","","","-1","-1","Font","3","-1","-1","font/woff2","","1","","-1","-1","https://www.apple.com/wss/fonts/SF-Pro-Display/v2/sf-pro-display_semibold.woff2","-1","-1","200","-1","","109875","1099","416","","181105_YT_H","-1","151","-1","100","30818773","109628","2230","-1","GET","109628","","","0.39","-1","-1","www.apple.com","100","-1","https://www.apple.com/","2","2229","/wss/fonts/SF-Pro-Display/v2/sf-pro-display_semibold.woff2","100","","Akamai","2633","2230","2381","2381","2633","252","2230","2633","403","37","38","1","0","http/1.1","medium","","max-age=30818773","","Sun, 27 Oct 2019 17:41:23 GMT","","",
"23.35.28.177","303","","","-1","-1","Font","3","-1","-1","font/woff2","","1","","-1","-1","https://www.apple.com/wss/fonts/SF-Pro-Display/v2/sf-pro-display_regular.woff2","-1","-1","200","-1","","98058","1099","415","","181105_YT_H","-1","72","-1","100","30818789","97812","2231","-1","GET","97812","","","0.40","-1","-1","www.apple.com","100","-1","https://www.apple.com/","3","2230","/wss/fonts/SF-Pro-Display/v2/sf-pro-display_regular.woff2","100","","Akamai","2534","2231","2303","2303","2534","231","2231","2534","303","38","39","1","0","http/1.1","medium","","max-age=30818789","","Sun, 27 Oct 2019 17:41:39 GMT","","",
"23.35.28.177","156","","","-1","-1","Font","3","-1","-1","application/font-woff","","1","","-1","-1","https://www.apple.com/wss/fonts/SF-Pro-Icons/v1/SFProIcons_regular.woff","-1","-1","200","-1","","10637","1099","408","","181105_YT_H","-1","55","-1","100","30817912","10380","2231","-1","GET","10380","","","0.41","-1","-1","www.apple.com","100","-1","https://www.apple.com/","4","2230","/wss/fonts/SF-Pro-Icons/v1/SFProIcons_regular.woff","100","","Akamai","2387","2231","2286","2286","2387","101","2231","2387","156","39","40","1","0","http/1.1","medium","","max-age=30817912","","Sun, 27 Oct 2019 17:27:02 GMT","","",
"23.35.28.177","335","","","-1","-1","Font","3","-1","-1","font/woff2","","1","","-1","-1","https://www.apple.com/wss/fonts/SF-Pro-Text/v2/sf-pro-text_regular-italic.woff2","-1","-1","200","-1","","65466","1099","416","","181105_YT_H","-1","126","-1","100","30818757","65220","2289","-1","GET","65220","","","0.42","-1","-1","www.apple.com","100","-1","https://www.apple.com/","4","2230","/wss/fonts/SF-Pro-Text/v2/sf-pro-text_regular-italic.woff2","100","","Akamai","2624","2289","2415","2415","2624","209","2289","2624","335","40","41","1","0","http/1.1","medium","","max-age=30818757","","Sun, 27 Oct 2019 17:41:07 GMT","","",
