"ip_addr","load_ms","image_total","minify_save","score_cookies","score_compress","requestType","type","dns_start","ssl_end","gzip_save","is_secure","server_count","score_gzip","ssl_start","full_url","dns_ms","connect_end","responseCode","ssl_ms","image_save","bytesIn","initiator_line","bytesOut","minify_total","cacheControl","id","dns_end","ttfb_ms","connect_start","score_cdn","cache_time","objectSizeUncompressed","load_start","connect_ms","method","objectSize","gzip_total","initiator_column","request_id","score_combine","score_etags","host","score_keep-alive","score_minify","initiator","socket","created","url","score_cache","server_rtt","cdn_provider","load_end","ttfb_start","ttfb_end","download_start","download_end","download_ms","all_start","all_end","all_ms","index","number","run","cached","protocol","priority","contentType","is_base_page","contentEncoding","expires","jpeg_scan_count","score_progressive_jpeg",
"151.101.45.67","492","","","-1","-1","Font","3","-1","-1","","1","","-1","-1","https://www.i.cdn.cnn.com/.a/fonts/cnn/3.7.2/cnnsans-medium.woff2","-1","-1","200","-1","","35527","6","40","","max-age=2592000","181105_6Q_3","-1","198","-1","100","1615180","34500","1224","-1","GET","34500","","","0.8","-1","-1","www.i.cdn.cnn.com","100","-1","https://www.cnn.com/","3","589","/.a/fonts/cnn/3.7.2/cnnsans-medium.woff2","100","","Fastly","1716","1224","1422","1422","1716","294","1224","1716","492","10","11","1","0","h2","medium","application/font-woff2","","","","","",
"151.101.45.67","284","","","-1","-1","Font","3","-1","-1","","1","","-1","-1","https://www.i.cdn.cnn.com/.a/fonts/cnn/3.7.2/cnnsans-bold.woff2","-1","-1","200","-1","","36231","7","38","","max-age=2592000","181105_6Q_3","-1","137","-1","100","1615179","35204","1225","-1","GET","35204","","","0.9","-1","-1","www.i.cdn.cnn.com","100","-1","https://www.cnn.com/","3","590","/.a/fonts/cnn/3.7.2/cnnsans-bold.woff2","100","","Fastly","1509","1225","1362","1362","1509","147","1225","1509","284","11","12","1","0","h2","medium","application/font-woff2","","","","","",
"151.101.45.67","162","","","-1","-1","Font","3","-1","-1","","1","","-1","-1","https://www.i.cdn.cnn.com/.a/fonts/icons/2.4.7/cnn-icons.woff2","-1","-1","200","-1","","22179","5","37","","max-age=2592000","181105_6Q_3","-1","83","-1","100","1954151","21152","1225","-1","GET","21152","","","0.7","-1","-1","www.i.cdn.cnn.com","100","-1","https://www.cnn.com/","3","589","/.a/fonts/icons/2.4.7/cnn-icons.woff2","100","","Fastly","1387","1225","1308","1308","1387","79","1225","1387","162","12","13","1","0","h2","medium","application/font-woff2","","","","","",
"151.101.45.67","498","","","-1","-1","Font","3","626","1223","","1","","-1","728","https://www.i.cdn.cnn.com/.a/fonts/cnn/3.7.2/cnnsans-regular.woff2","52","728","200","495","","47492","4","201","","max-age=2592000","181105_6Q_3","678","327","680","100","1615178","46464","1225","48","GET","46464","","","0.6","-1","-1","www.i.cdn.cnn.com","100","-1","https://www.cnn.com/","3","588","/.a/fonts/cnn/3.7.2/cnnsans-regular.woff2","100","","Fastly","1723","1225","1552","1552","1723","171","626","1723","1093","13","14","1","0","h2","medium","application/font-woff2","","","","","",
"104.78.227.233","1170","2992","","-1","100","Image","3","-1","-1","","1","","-1","-1","https://cdn.cnn.com/cnn/.e1mo/img/4.0/logos/menu_style_new.png","-1","-1","200","-1","0","3289","19","47","","max-age=3600","181105_6Q_3","-1","363","-1","100","3600","2992","1228","-1","GET","2992","","","0.18","-1","-1","cdn.cnn.com","100","-1","https://www.cnn.com/","2","820","/cnn/.e1mo/img/4.0/logos/menu_style_new.png","50","","Akamai","2398","1228","1591","1591","2398","807","1228","2398","1170","14","15","1","0","h2","low","image/png","","","Mon, 05 Nov 2018 01:29:52 GMT","","",
"104.78.227.233","1170","1562","","-1","100","Image","3","-1","-1","","1","","-1","-1","https://cdn.cnn.com/cnn/.e1mo/img/4.0/logos/menu_travel.png","-1","-1","200","-1","0","1859","19","45","","max-age=3600","181105_6Q_3","-1","434","-1","100","3600","1562","1229","-1","GET","1562","","","0.19","-1","-1","cdn.cnn.com","100","-1","https://www.cnn.com/","2","820","/cnn/.e1mo/img/4.0/logos/menu_travel.png","50","","Akamai","2399","1229","1663","1663","2399","736","1229","2399","1170","15","16","1","0","h2","low","image/png","","","Mon, 05 Nov 2018 01:29:52 GMT","","",
"104.78.227.233","1126","","","-1","-1","Script","3","619","1236","0","1","","100","745","https://cdn.cnn.com/analytics/cnnexpan/jsmd.min.js","99","745","200","491","","69334","8","250","","max-age=3600","181105_6Q_3","718","69","722","100","3600","398524","1239","23","GET","68982","68982","","0.10","-1","-1","cdn.cnn.com","100","-1","https://www.cnn.com/","2","590","/analytics/cnnexpan/jsmd.min.js","50","","Akamai","2365","1239","1308","1308","2365","1057","619","2365","1739","16","17","1","0","h2","high","application/x-javascript","","br","Mon, 05 Nov 2018 01:29:52 GMT","","",
"104.78.227.233","1152","15924","","-1","6","Image","3","-1","-1","","1","","-1","-1","https://cdn.cnn.com/cnn/.e1mo/img/4.0/logos/menu_bleacher.png","-1","-1","200","-1","14859","16222","19","46","","max-age=3600","181105_6Q_3","-1","415","-1","100","3600","15924","1249","-1","GET","15924","","","0.20","-1","-1","cdn.cnn.com","100","-1","https://www.cnn.com/","2","821","/cnn/.e1mo/img/4.0/logos/menu_bleacher.png","50","","Akamai","2401","1249","1664","1664","2401","737","1249","2401","1152","17","18","1","0","h2","low","image/png","","","Mon, 05 Nov 2018 01:29:52 GMT","","",
"104.78.227.233","1153","2873","","-1","100","Image","3","-1","-1","","1","","-1","-1","https://cdn.cnn.com/cnn/.e1mo/img/4.0/vr/vr_new_asset.png","-1","-1","200","-1","0","3170","19","44","","max-age=3600","181105_6Q_3","-1","416","-1","100","3600","2873","1249","-1","GET","2873","","","0.21","-1","-1","cdn.cnn.com","100","-1","https://www.cnn.com/","2","821","/cnn/.e1mo/img/4.0/vr/vr_new_asset.png","50","","Akamai","2402","1249","1665","1665","2402","737","1249","2402","1153","18","19","1","0","h2","low","image/png","","","Mon, 05 Nov 2018 01:29:52 GMT","","",
"104.78.227.233","1158","3128","","-1","100","Image","3","-1","-1","","1","","-1","-1","https://cdn.cnn.com/cnn/.e1mo/img/4.0/logos/logo_cnn_arabic.png","-1","-1","200","-1","0","3425","19","47","","max-age=3600","181105_6Q_3","-1","416","-1","100","3600","3128","1250","-1","GET","3128","","","0.24","-1","-1","cdn.cnn.com","100","-1","https://www.cnn.com/","2","823","/cnn/.e1mo/img/4.0/logos/logo_cnn_arabic.png","50","","Akamai","2408","1250","1666","1666","2408","742","1250","2408","1158","19","20","1","0","h2","low","image/png","","","Mon, 05 Nov 2018 01:29:52 GMT","","",
"104.78.227.233","1154","728","","-1","100","Image","3","-1","-1","","1","","-1","-1","https://cdn.cnn.com/cnn/.e1mo/img/4.0/logos/logo_cnn_nav_bottom.png","-1","-1","200","-1","0","1024","19","50","","max-age=3600","181105_6Q_3","-1","416","-1","100","3600","728","1250","-1","GET","728","","","0.22","-1","-1","cdn.cnn.com","100","-1","https://www.cnn.com/","2","822","/cnn/.e1mo/img/4.0/logos/logo_cnn_nav_bottom.png","50","","Akamai","2404","1250","1666","1666","2404","738","1250","2404","1154","20","21","1","0","h2","low","image/png","","","Mon, 05 Nov 2018 01:29:52 GMT","","",
"104.78.227.233","1155","1614","","-1","100","Image","3","-1","-1","","1","","-1","-1","https://cdn.cnn.com/cnn/.e1mo/img/4.0/logos/logo_cnn_espaniol.png","-1","-1","200","-1","0","1911","19","49","","max-age=3600","181105_6Q_3","-1","416","-1","100","3600","1614","1250","-1","GET","1614","","","0.23","-1","-1","cdn.cnn.com","100","-1","https://www.cnn.com/","2","822","/cnn/.e1mo/img/4.0/logos/logo_cnn_espaniol.png","50","","Akamai","2405","1250","1666","1666","2405","739","1250","2405","1155","21","22","1","0","h2","low","image/png","","","Mon, 05 Nov 2018 01:29:52 GMT","","",
"104.118.213.68","453","","","-1","-1","Script","3","625","1260","0","1","","100","740","https://cdn.optimizely.com/js/131788053.js","62","740","200","520","","103180","3","166","","max-age=600","181105_6Q_3","687","90","688","100","600","402888","1275","52","GET","102249","102249","","0.5","-1","-1","cdn.optimizely.com","100","-1","https://www.cnn.com/","4","588","/js/131788053.js","0","","Akamai","1728","1275","1365","1365","1728","363","625","1728","1087","22","23","1","0","h2","high","text/javascript; charset=utf-8","","gzip","","","",
"104.78.227.233","425","","","-1","-1","Script","3","-1","-1","0","1","","100","-1","https://cdn.cnn.com/ads/adfuel/modules/prebid-1.23.0.js","-1","-1","200","-1","","29423","32","42","","max-age=3600","181105_6Q_3","-1","144","-1","100","3600","109784","1296","-1","GET","29071","29071","37214","0.33","-1","-1","cdn.cnn.com","100","-1","https://www.cnn.com/.a/2.123.0/js/cnn-header-second.min.js","2","1221","/ads/adfuel/modules/prebid-1.23.0.js","50","","Akamai","1721","1296","1440","1440","1721","281","1296","1721","425","23","24","1","0","h2","high","application/x-javascript","","br","Mon, 05 Nov 2018 01:29:52 GMT","","",
"23.214.64.64","914","","","-1","-1","Script","3","615","1493","0","1","","100","840","https://amplify.outbrain.com/cp/obtp.js","96","840","200","653","","2280","12","308","","max-age=1200","181105_6Q_3","711","196","717","100","1200","4446","1494","123","GET","1928","1928","","0.14","-1","-1","amplify.outbrain.com","100","-1","https://www.cnn.com/","5","591","/cp/obtp.js","0","","Akamai","2408","1494","1690","1690","2408","718","615","2408","1786","24","25","1","0","http/1.1","high","application/x-javascript","","gzip","Mon, 05 Nov 2018 00:49:53 GMT","","",
"104.25.162.34","521","","","-1","-1","Script","3","1099","1887","0","1","","100","1234","https://tru.am/scripts/custom/cnn.js","70","1234","200","653","","1014","19","162","","public, max-age=14400","181105_6Q_3","1169","74","1198","100","14400","1808","1889","36","GET","644","644","","0.29","-1","-1","tru.am","100","-1","https://www.cnn.com/","6","825","/scripts/custom/cnn.js","50","","Cloudflare","2410","1889","1963","1963","2410","447","1099","2410","1280","25","26","1","0","h2","high","application/javascript","","br","Mon, 05 Nov 2018 04:29:53 GMT","","",
"152.195.33.69","475","","","-1","-1","Script","3","1064","1936","0","1","","100","1286","https://cdn.cookielaw.org/geoswitch/d22a6b50-6c73-4070-8922-86c722dd1f35.js","138","1286","200","650","","1037","19","189","","public, max-age=14400","181105_6Q_3","1202","64","1217","100","14400","1149","1936","69","GET","577","577","","0.28","-1","-1","cdn.cookielaw.org","100","-1","https://www.cnn.com/","7","825","/geoswitch/d22a6b50-6c73-4070-8922-86c722dd1f35.js","50","","Microsoft Azure","2411","1936","2000","2000","2411","411","1064","2411","1332","26","27","1","0","h2","high","application/x-javascript","","gzip","","","",
"52.84.141.190","475","","","-1","-1","Script","3","1048","1936","0","1","","100","1202","https://native.sharethrough.com/assets/sfp-creative-hub-listener.js","64","1202","200","734","","1326","19","182","","public, max-age=3600","181105_6Q_3","1112","67","1159","100","3342","2249","1937","43","GET","999","999","","0.25","-1","-1","native.sharethrough.com","100","-1","https://www.cnn.com/","9","824","/assets/sfp-creative-hub-listener.js","0","","Amazon CloudFront","2412","1937","2004","2004","2412","408","1048","2412","1316","27","28","1","0","h2","high","application/javascript","","gzip","Fri, 02 Nov 2018 16:25:32 GMT","","",
"52.84.141.196","453","","","-1","-1","Script","3","1032","1957","0","1","","100","1205","https://static.chartbeat.com/js/chartbeat_mab.js","86","1205","200","752","","8152","19","170","","max-age=7200","181105_6Q_3","1118","44","1146","100","5914","18788","1958","59","GET","7833","7833","","0.26","-1","-1","static.chartbeat.com","100","-1","https://www.cnn.com/","8","824","/js/chartbeat_mab.js","50","","Amazon CloudFront","2411","1958","2002","2002","2411","409","1032","2411","1350","28","29","1","0","h2","high","application/x-javascript","","gzip","Mon, 05 Nov 2018 02:08:27 GMT","","",
"104.78.227.233","333","","","-1","-1","Script","3","1322","2079","0","1","","100","1405","https://i.cdn.turner.com/ads/adfuel/modules/keypress.js","43","1405","200","674","","4894","32","176","","max-age=3600","181105_6Q_3","1365","22","1378","100","3600","15242","2079","27","GET","4543","4543","37214","0.37","-1","-1","i.cdn.turner.com","100","-1","https://www.cnn.com/.a/2.123.0/js/cnn-header-second.min.js","10","1239","/ads/adfuel/modules/keypress.js","50","","Akamai","2412","2079","2101","2101","2412","311","1322","2412","1077","29","30","1","0","h2","high","application/x-javascript","","br","Mon, 05 Nov 2018 01:29:53 GMT","","",
"74.119.119.131","322","","","-1","-1","Script","3","1314","2091","0","1","","100","1411","https://static.criteo.net/js/ld/publishertag.js","50","1411","200","680","","24389","32","316","","max-age=86400, public","181105_6Q_3","1364","37","1375","0","86400","81117","2091","36","GET","23990","23990","37214","0.31","-1","-1","static.criteo.net","100","-1","https://www.cnn.com/.a/2.123.0/js/cnn-header-second.min.js","11","1216","/js/ld/publishertag.js","50","","","2413","2091","2128","2128","2413","285","1314","2413","1088","30","31","1","0","http/1.1","high","text/javascript","","gzip","Tue, 06 Nov 2018 00:29:53 GMT","","",
"94.237.48.167","301","","","-1","-1","Script","3","1015","2115","","1","","-1","1265","https://cnn.sdk.beemray.com/content/loader/39a34d8d-dd1d-4fbf-aa96-fdc5f0329451","61","1265","200","850","","696","19","348","","public, max-age=3600","181105_6Q_3","1076","117","1126","-1","","473","2115","139","GET","473","","","0.27","-1","-1","cnn.sdk.beemray.com","100","-1","https://www.cnn.com/","17","824","/content/loader/39a34d8d-dd1d-4fbf-aa96-fdc5f0329451","-1","","","2416","2115","2232","2232","2416","184","1015","2416","1351","31","32","1","0","http/1.1","high","text/html","","","","","",
"23.222.196.138","260","","","-1","-1","Script","3","1310","2156","0","1","","100","1431","https://js-sec.indexww.com/ht/p/186948-60896576130421.js","52","1431","200","725","","26143","32","325","","max-age=1117","181105_6Q_3","1362","117","1372","100","1117","84962","2156","59","GET","25747","25747","37214","0.30","-1","-1","js-sec.indexww.com","100","-1","https://www.cnn.com/.a/2.123.0/js/cnn-header-second.min.js","16","1213","/ht/p/186948-60896576130421.js","0","","Akamai","2416","2156","2273","2273","2416","143","1310","2416","1096","32","33","1","0","http/1.1","high","text/javascript","","gzip","Mon, 05 Nov 2018 00:48:30 GMT","","",
"54.192.91.187","257","","","-1","-1","Script","3","1317","2159","0","1","","100","1497","https://c.amazon-adsystem.com/aax2/apstag.js","64","1497","200","662","","19020","32","313","","public, max-age=86400","181105_6Q_3","1381","116","1405","100","57428","64927","2159","92","GET","18550","18550","37214","0.32","-1","-1","c.amazon-adsystem.com","100","-1","https://www.cnn.com/.a/2.123.0/js/cnn-header-second.min.js","15","1218","/aax2/apstag.js","50","","Amazon CloudFront","2416","2159","2275","2275","2416","141","1317","2416","1075","33","34","1","0","http/1.1","high","application/javascript","","gzip","","","",
"151.101.44.175","253","","","-1","-1","Script","3","1320","2159","0","1","","100","1565","https://cdn.krxd.net/controltag?confid=ITb_4eqO","112","1565","200","594","","12041","32","316","","public, max-age=1200","181105_6Q_3","1432","26","1438","100","50","42405","2160","127","GET","11415","11415","37214","0.35","-1","-1","cdn.krxd.net","100","-1","https://www.cnn.com/.a/2.123.0/js/cnn-header-second.min.js","12","1230","/controltag?confid=ITb_4eqO","0","","Fastly","2413","2160","2186","2186","2413","227","1320","2413","1086","34","35","1","0","http/1.1","high","text/javascript; charset=utf-8","","gzip","","","",
"34.226.67.245","247","","","-1","-1","Script","3","1318","2167","","1","","-1","1564","https://www.ugdturner.com/xd.sjs","63","1564","200","603","","489","32","160","","no-cache","181105_6Q_3","1381","58","1414","-1","","329","2167","150","GET","329","","37214","0.34","-1","-1","www.ugdturner.com","100","-1","https://www.cnn.com/.a/2.123.0/js/cnn-header-second.min.js","13","1222","/xd.sjs","-1","","","2414","2167","2225","2225","2414","189","1318","2414","1063","35","36","1","0","h2","high","text/javascript","","","","","",
"64.233.180.156","245","","","-1","-1","Script","3","1321","2168","0","1","","100","1438","https://www.googletagservices.com/tag/js/gpt.js","44","1438","200","730","","9424","32","170","","private, max-age=900, stale-while-revalidate=3600","181105_6Q_3","1365","58","1374","100","900","25015","2169","64","GET","8931","8931","37214","0.36","-1","-1","www.googletagservices.com","100","-1","https://www.cnn.com/.a/2.123.0/js/cnn-header-second.min.js","14","1233","/tag/js/gpt.js","0","","Google","2414","2169","2227","2227","2414","187","1321","2414","1083","36","37","1","0","h2","high","text/javascript","","gzip","Mon, 05 Nov 2018 00:29:53 GMT","","",
"23.1.225.190","2126","","","-1","-1","Document","3","2480","2834","0","1","","100","2618","https://a125375509.cdn.optimizely.com/client_storage/a125375509.html","70","2618","200","216","","1446","586","229","","max-age=120","181105_6Q_3","2550","47","2566","100","","1385","2835","52","GET","731","731","11994","0.38","-1","-1","a125375509.cdn.optimizely.com","100","-1","https://cdn.optimizely.com/js/131788053.js","18","2478","/client_storage/a125375509.html","-1","","Akamai","4961","2835","2882","2882","4961","2079","2480","4961","2464","37","38","1","0","h2","high","text/html; charset=utf-8","","gzip","","","",
"151.101.45.67","60","","","-1","-1","XHR","3","-1","-1","0","1","","100","-1","https://www.cnn.com/data/ocs/section/index3.html:homepage-magellan-zone-1/views/zones/common/zone-manager.izl","-1","-1","200","-1","","5635","39","254","","max-age=60","181105_6Q_3","-1","29","-1","100","-194","29609","3038","-1","GET","4457","4457","85926","0.44","-1","-1","www.cnn.com","100","-1","https://www.cnn.com/.a/bundles/cnn-header.b5b3e8252042729f1614-first-bundle.js","1","3037","/data/ocs/section/index3.html:homepage-magellan-zone-1/views/zones/common/zone-manager.izl","0","","Fastly","3098","3038","3067","3067","3098","31","3038","3098","60","38","39","1","0","h2","medium","application/json; charset=utf-8","","gzip","","","",
"151.101.45.67","265","","","-1","-1","XHR","3","-1","-1","0","1","","100","-1","https://www.cnn.com/data/ocs/section/index3.html:homepage-magellan-zone-2/views/zones/common/zone-manager.izl","-1","-1","200","-1","","15118","39","76","","max-age=60","181105_6Q_3","-1","22","-1","100","-193","119596","3041","-1","GET","13939","13939","85926","0.45","-1","-1","www.cnn.com","100","-1","https://www.cnn.com/.a/bundles/cnn-header.b5b3e8252042729f1614-first-bundle.js","1","3040","/data/ocs/section/index3.html:homepage-magellan-zone-2/views/zones/common/zone-manager.izl","0","","Fastly","3306","3041","3063","3063","3306","243","3041","3306","265","39","40","1","0","h2","medium","application/json; charset=utf-8","","gzip","","","",
"151.101.45.67","1989","","","-1","-1","Script","3","2997","3111","0","1","","100","3031","https://www.i.cdn.cnn.com/.a/bundles/usabilla.74faa418390bb848b58b.bundle.js","1","3031","200","80","","2601","39","310","","max-age=2592000","181105_6Q_3","2998","42","2998","100","1708703","2990","3112","33","GET","1517","1517","87211","0.40","-1","-1","www.i.cdn.cnn.com","100","-1","https://www.cnn.com/.a/bundles/cnn-header.b5b3e8252042729f1614-first-bundle.js","19","2995","/.a/bundles/usabilla.74faa418390bb848b58b.bundle.js","100","","Fastly","5101","3112","3154","3154","5101","1947","2997","5101","2103","40","41","1","0","h2","high","application/javascript; charset=UTF-8","","gzip","","","",
"151.101.45.67","1985","","","-1","-1","Script","3","-1","-1","0","1","","100","-1","https://www.i.cdn.cnn.com/.a/bundles/one_tap.639c26bfee63dc0a7b1f.bundle.js","-1","-1","200","-1","","1696","39","170","","max-age=2592000","181105_6Q_3","-1","35","-1","100","1708705","1322","3117","-1","GET","612","612","87211","0.48","-1","-1","www.i.cdn.cnn.com","100","-1","https://www.cnn.com/.a/bundles/cnn-header.b5b3e8252042729f1614-first-bundle.js","19","3116","/.a/bundles/one_tap.639c26bfee63dc0a7b1f.bundle.js","100","","Fastly","5102","3117","3152","3152","5102","1950","3117","5102","1985","41","42","1","0","h2","high","application/javascript; charset=UTF-8","","gzip","","","",
"151.101.45.67","1979","","","-1","-1","Script","3","-1","-1","0","1","","100","-1","https://www.i.cdn.cnn.com/.a/bundles/weather.425097a9098cdbbe473a.bundle.js","-1","-1","200","-1","","7465","39","52","","max-age=2592000","181105_6Q_3","-1","29","-1","100","1708707","23846","3122","-1","GET","6380","6380","87211","0.49","-1","-1","www.i.cdn.cnn.com","100","-1","https://www.cnn.com/.a/bundles/cnn-header.b5b3e8252042729f1614-first-bundle.js","19","3120","/.a/bundles/weather.425097a9098cdbbe473a.bundle.js","100","","Fastly","5101","3122","3151","3151","5101","1950","3122","5101","1979","42","43","1","0","h2","high","application/javascript; charset=UTF-8","","gzip","","","",
"104.78.227.233","1818","9177","","-1","100","Image","3","-1","-1","","1","","-1","-1","https://cdn.cnn.com/cnnnext/dam/assets/181003153039-01-amazon-seattle-hq-restricted-small-tease.jpg","-1","-1","200","-1","0","9422","39","72","","max-age=3600","181105_6Q_3","-1","44","-1","100","3600","9177","3293","-1","GET","9177","","70720","0.51","-1","-1","cdn.cnn.com","100","-1","https://www.cnn.com/.a/bundles/cnn-header.b5b3e8252042729f1614-first-bundle.js","2","3290","/cnnnext/dam/assets/181003153039-01-amazon-seattle-hq-restricted-small-tease.jpg","50","","Akamai","5111","3293","3337","3337","5111","1774","3293","5111","1818","43","44","1","0","h2","low","image/jpeg","","","Mon, 05 Nov 2018 01:29:54 GMT","1","50",
"104.78.227.233","1811","17619","","-1","33","Image","3","-1","-1","","1","","-1","-1","https://cdn.cnn.com/cnnnext/dam/assets/181104152700-02-abdullah-salah-khashoggi-small-tease.jpg","-1","-1","200","-1","11632","17865","39","190","","max-age=3600","181105_6Q_3","-1","44","-1","100","3600","17619","3293","-1","GET","17619","","70720","0.50","-1","-1","cdn.cnn.com","100","-1","https://www.cnn.com/.a/bundles/cnn-header.b5b3e8252042729f1614-first-bundle.js","2","3290","/cnnnext/dam/assets/181104152700-02-abdullah-salah-khashoggi-small-tease.jpg","50","","Akamai","5104","3293","3337","3337","5104","1767","3293","5104","1811","44","45","1","0","h2","low","image/jpeg","","","Mon, 05 Nov 2018 01:29:54 GMT","1","0",
